experiment,status,val_f1_macro,val_f1_weighted,val_accuracy,test_f1_macro,test_f1_weighted,test_accuracy,fit_time_sec,n_candidates,best_params
E01_Preproc_TFIDF_ComplementNB,ok,0.8411139092543181,0.8669115939500405,0.873015873015873,0.8611232647763376,0.878050648758302,0.8826777087646653,73.88,8,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 2, 'prep__stem': False, 'prep__remove_stopwords': True, 'prep__lemmatize': True, 'clf__alpha': 0.3}"
E14_Preproc_HF_PCA_GaussianNB,ok,0.8175885435188552,0.8449084211312116,0.8433402346445825,0.8344699470753456,0.8607490366967391,0.8599033816425121,57.96,4,"{'prep__stem': False, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'pca__n_components': 128, 'emb__normalize_embeddings': False, 'clf__var_smoothing': 1e-07}"
E13_Preproc_HF_GaussianNB,ok,0.8072313994129917,0.8339348790955202,0.8322981366459627,0.8319666089174909,0.8572946462189642,0.855072463768116,92.92,4,"{'prep__stem': False, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'emb__normalize_embeddings': False, 'clf__var_smoothing': 1e-07}"
E04_Preproc_TFIDF_NMF_LightGBM,ok,0.8270611122031194,0.854436612172654,0.8564527260179434,0.8177850074466027,0.8450705727897333,0.8474810213940649,1288.14,8,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'nmf__n_components': 80, 'clf__num_leaves': 63, 'clf__n_estimators': 250, 'clf__learning_rate': 0.05}"
E03_Preproc_TFIDF_SVD_LightGBM,ok,0.8110723744617814,0.8463567522715528,0.8488612836438924,0.8096093406919217,0.845513037281102,0.8461007591442374,308.89,8,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'svd__n_components': 120, 'prep__stem': False, 'prep__remove_stopwords': True, 'prep__lemmatize': True, 'clf__num_leaves': 63, 'clf__n_estimators': 450, 'clf__learning_rate': 0.1}"
E02_Preproc_TFIDF_SVD_CatBoost,ok,0.806162165855012,0.8339186764408043,0.8350586611456177,0.8002487196910594,0.8340176637062611,0.8357487922705314,299.62,8,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'svd__n_components': 120, 'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'clf__learning_rate': 0.1, 'clf__iterations': 350, 'clf__depth': 6}"
E09_Preproc_Word2Vec_CatBoost,ok,0.7852161444812349,0.819516385754301,0.8205659075224293,0.7791369603053799,0.8230419990694456,0.8247066942719117,264.66,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'emb__window': 8, 'emb__vector_size': 200, 'emb__min_count': 2, 'emb__epochs': 20, 'clf__learning_rate': 0.1, 'clf__iterations': 350, 'clf__depth': 6}"
E10_Preproc_Word2Vec_PCA_LightGBM,ok,0.7743907512281971,0.8102993747179087,0.8129744651483782,0.7750569360695954,0.8179675371246895,0.8205659075224293,347.79,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'pca__n_components': 120, 'emb__window': 8, 'emb__min_count': 2, 'emb__epochs': 20, 'clf__num_leaves': 63, 'clf__n_estimators': 250, 'clf__learning_rate': 0.05}"
E06_Preproc_Word2Vec_PCA_GaussianNB,ok,0.7694129069948448,0.8076430918868897,0.8033126293995859,0.7679186522787904,0.8104357614130164,0.8060731538992408,151.62,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'pca__n_components': 80, 'emb__window': 5, 'emb__min_count': 2, 'emb__epochs': 30, 'clf__var_smoothing': 1e-07}"
E08_Preproc_FastText_PCA_GaussianNB,ok,0.753796328373415,0.7951098138680998,0.7908902691511387,0.7601576193879763,0.8001715995926921,0.7977915804002761,801.59,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'pca__n_components': 80, 'emb__window': 5, 'emb__min_count': 2, 'emb__epochs': 30, 'clf__var_smoothing': 1e-07}"
E12_Preproc_FastText_PCA_CatBoost,ok,0.7617486771674209,0.7996548102451279,0.800552104899931,0.7598673895899681,0.7971917696409204,0.7998619737750172,727.79,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'pca__n_components': 120, 'emb__window': 8, 'emb__min_count': 2, 'emb__epochs': 20, 'clf__learning_rate': 0.1, 'clf__iterations': 350, 'clf__depth': 6}"
E11_Preproc_FastText_LightGBM,ok,0.7733955199176856,0.8127717742896141,0.8150448585231194,0.7552970733664959,0.8028815543117281,0.8053830227743272,734.68,8,"{'prep__stem': False, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'emb__window': 8, 'emb__vector_size': 150, 'emb__min_count': 1, 'emb__epochs': 30, 'clf__num_leaves': 31, 'clf__n_estimators': 450, 'clf__learning_rate': 0.1}"
E05_Preproc_Word2Vec_GaussianNB,ok,0.708227180137867,0.7504466612013501,0.746031746031746,0.6975420284831207,0.754589414284378,0.7474120082815735,141.27,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'emb__window': 8, 'emb__vector_size': 100, 'emb__min_count': 2, 'emb__epochs': 30, 'clf__var_smoothing': 1e-07}"
E07_Preproc_FastText_GaussianNB,ok,0.680251918277445,0.7292176592471743,0.7218771566597654,0.6652402495398198,0.7315033510788571,0.7211870255348516,681.18,8,"{'prep__stem': True, 'prep__remove_stopwords': True, 'prep__lemmatize': False, 'emb__window': 8, 'emb__vector_size': 100, 'emb__min_count': 2, 'emb__epochs': 30, 'clf__var_smoothing': 1e-07}"
